session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2021-11-24,2021-11-25,PE,17650,2021-11-25,50,27.2,17434.65,17504.19,17432.3,17440.55,220.0,220.85,True,11000.0,68.24,-25.74
2021-11-26,2021-11-29,PE,17200,2021-12-02,50,26.8,17006.35,17107.73,16989.4,16981.05,263.2,206.45,True,13160.0,68.75,-2906.25
2021-11-30,2021-12-01,PE,17200,2021-12-02,50,28.7,16982.0,17093.55,16987.85,17158.2,243.7,145.75,True,12185.0,64.32,-4961.82
2021-12-06,2021-12-07,PE,17100,2021-12-09,50,23.3,16920.05,16987.94,16916.05,17019.1,229.25,228.7,True,11462.5,69.04,-96.54
2021-12-10,2021-12-13,CE,17300,2021-12-16,50,71.2,17513.5,17473.66,17517.3,17629.25,275.1,365.0,True,13755.0,79.07,4415.93
2022-01-04,2022-01-05,CE,17600,2022-01-06,50,75.4,17792.5,17752.38,17793.85,17818.6,210.25,234.0,True,10512.5,68.74,1118.76
2022-01-18,2022-01-19,PE,18300,2022-01-20,50,20.1,18122.15,18212.28,18109.85,18058.45,207.0,260.85,True,10350.0,70.32,2622.18
2022-02-15,2022-02-16,CE,17150,2022-02-17,50,76.8,17344.3,17264.4,17339.75,17378.55,257.8,286.2,True,12890.0,73.58,1346.42
2022-03-08,2022-03-09,CE,15800,2022-03-10,50,75.4,16012.25,15900.52,16018.0,16068.1,309.65,312.7,True,15482.5,76.92,75.58
2022-03-14,2022-03-15,CE,16700,2022-03-17,50,76.1,16882.35,16836.26,16881.1,16918.35,316.0,235.0,True,15800.0,72.27,-4122.27
2022-03-16,2022-03-17,CE,16750,2022-03-17,50,72.0,16975.45,16917.02,16972.05,17218.65,288.25,466.95,True,14412.5,85.88,8849.12
2022-04-01,2022-04-04,CE,17450,2022-04-07,50,80.7,17653.8,17591.16,17656.5,17853.5,275.65,407.15,True,13782.5,81.71,6493.29
2022-04-19,2022-04-20,PE,17250,2022-04-21,50,14.9,16981.5,17175.24,17026.6,17020.55,281.9,220.0,True,14095.0,70.23,-3165.23
2022-04-29,2022-05-02,PE,17300,2022-05-05,50,22.8,17095.05,17260.74,17083.6,16983.2,268.1,348.25,True,13405.0,77.79,3929.71
2022-05-13,2022-05-16,PE,15950,2022-05-19,50,24.8,15776.8,15901.63,15768.95,15822.5,265.0,236.2,True,13250.0,70.69,-1510.69
2022-05-20,2022-05-23,CE,16100,2022-05-26,50,70.7,16274.5,16219.97,16276.75,16324.8,269.15,267.15,True,13457.5,72.75,-172.75
2022-05-23,2022-05-24,PE,16400,2022-05-26,50,28.5,16223.25,16279.09,16218.9,16245.35,269.9,260.3,True,13495.0,72.34,-552.34
2022-06-03,2022-06-06,PE,16800,2022-06-09,50,26.1,16582.1,16648.48,16584.75,16554.8,273.0,283.35,True,13650.0,73.89,443.61
2022-07-04,2022-07-05,CE,15650,2022-07-07,50,74.3,15842.4,15792.83,15843.3,15933.45,241.25,295.2,True,12062.5,73.59,2623.91
2022-07-15,2022-07-18,CE,15850,2022-07-21,50,70.7,16049.3,16001.94,16049.15,16181.1,256.05,352.15,True,12802.5,77.64,4727.36
2022-07-18,2022-07-19,CE,16100,2022-07-21,50,75.2,16280.85,16243.65,16278.95,16224.8,223.2,180.95,True,11160.0,65.84,-2178.34
2022-07-19,2022-07-20,CE,16150,2022-07-21,50,70.1,16355.05,16324.91,16353.7,16520.1,219.15,364.0,True,10957.5,77.18,7165.32
2022-08-01,2022-08-02,CE,17150,2022-08-04,50,79.1,17350.8,17316.47,17343.7,17290.55,244.85,226.8,True,12242.5,69.43,-971.93
2022-08-03,2022-08-04,CE,17200,2022-08-04,50,77.4,17383.65,17322.13,17385.1,17454.0,198.7,269.8,True,9935.0,70.61,3484.39
2022-08-30,2022-09-01,CE,17550,2022-09-01,50,83.4,17773.1,17688.25,17766.95,17551.35,260.8,30.25,True,13040.0,57.65,-11585.15
2022-10-11,2022-10-12,PE,17200,2022-10-13,50,23.0,17007.3,17080.38,17011.05,17019.45,227.0,219.75,True,11350.0,68.41,-430.91
2022-10-31,2022-11-01,CE,17800,2022-11-03,50,74.9,18012.5,17977.27,18014.2,18093.6,246.35,320.05,True,12317.5,75.32,3609.68
2022-11-04,2022-11-07,CE,17950,2022-11-10,50,81.8,18122.8,18071.41,18126.1,18217.9,240.0,301.65,True,12000.0,73.96,3008.54
2022-11-07,2022-11-09,CE,18000,2022-11-10,50,70.7,18197.45,18153.5,18202.9,18258.3,231.0,276.0,True,11550.0,72.06,2177.94
2022-11-15,2022-11-16,CE,18200,2022-11-17,50,77.4,18397.8,18345.58,18398.3,18388.55,224.55,203.8,True,11227.5,67.33,-1104.83
2022-11-18,2022-11-21,CE,18100,2022-11-24,50,72.8,18310.3,18260.01,18320.4,18224.4,289.05,201.15,True,14452.5,69.27,-4464.27
